"menu:item:660:title","2012–13 Campaign","Kampaň 2012–2013","cs"
"menu:item:661:title","2014–15 Campaign","Kampaň 2014–2015","cs"
"menu:item:623:title","About EU-OSHA","O agentuře EU-OSHA","cs"
"menu:item:637:title","About EU-OSHA","O agentuře EU-OSHA","cs"
"menu:item:1712:title","Accessibility","Přístupnost","cs"
"menu:item:668:title","Ageing & OSH","Stárnutí a BOZP","cs"
"menu:item:994:title","Annual reports","Výroční zprávy","cs"
"menu:item:3073:title","Award winner 2014","Vítěz soutěže 2014","cs"
"menu:item:3072:title","Become a media partner","Staňte se mediálním partnerem","cs"
"menu:item:1012:title","Benefits of OSH","Přínosy BOZP","cs"
"menu:item:1717:title","Blog","Blog","cs"
"menu:item:1718:title","Blog","Blog","cs"
"menu:item:1719:title","Blog","Blog","cs"
"menu:item:1003:title","Board & Bureau","Řídící rada a předsednictvo","cs"
"menu:item:965:title","CLP","CLP","cs"
"menu:item:989:title","Campaign toolkit","Soubor nástrojů kampaně","cs"
"menu:item:629:title","Campaigns & Awards","Kampaně a soutěže","cs"
"menu:item:674:title","Careers","Pracovní uplatnění","cs"
"menu:item:1028:title","Composition of the advisory groups","Složení poradních skupin","cs"
"menu:item:1004:title","Composition of the board","Složení řídící rady","cs"
"menu:item:1025:title","Composition of the bureau","Složení předsednictva","cs"
"menu:item:1705:title","Contact us","Kontaktujte nás","cs"
"menu:item:996:title","Control standards","Standardy kontroly","cs"
"menu:item:672:title","Dangerous substances","Nebezpečné látky","cs"
"menu:item:672:description","Dangerous substances in the workplace — safety and health information and advice from EU-OSHA","Nebezpečné látky na pracovišti – informace o BOZP a rady agentury EU-OSHA","cs"
"menu:item:998:title","Data protection","Ochrana údajů","cs"
"menu:item:3076:title","Document register","Rejstřík dokumentů","cs"
"menu:item:649:title","EU directives","Směrnice EU","cs"
"menu:item:650:title","EU guidelines","Přiručky EU","cs"
"menu:item:1018:title","EU poll 2009","Průzkum veřejného mínění v EU v roce 2009","cs"
"menu:item:984:title","EU poll 2012","Průzkum veřejného mínění v EU v roce 2012","cs"
"menu:item:983:title","EU poll 2013","Průzkum veřejného mínění v EU v roce 2013","cs"
"menu:item:656:title","EU polls on safety & health","Průzkumy veřejného mínění v EU v oblasti BOZP","cs"
"menu:item:1023:title","EU presidency","Předsednictví EU","cs"
"menu:item:993:title","EU risk observatory","Evropské observatorium rizik","cs"
"menu:item:651:title","EU standards","Normy EU","cs"
"menu:item:1024:title","EU year","Evropský rok","cs"
"menu:item:979:title","EU-OSHA awards","Soutěže agentury EU-OSHA","cs"
"menu:item:628:title","Emerging risks","Vznikající rizika","cs"
"menu:item:969:title","Emerging risks","Vznikající rizika","cs"
"menu:item:669:title","Enterprise survey (ESENER)","Průzkum podniků (ESENER)","cs"
"menu:item:995:title","Evaluation","Hodnocení","cs"
"menu:item:1513:title","Events","Akce","cs"
"menu:item:1708:title","Facebook","Facebook","cs"
"menu:item:981:title","Film award","Filmová cena","cs"
"menu:item:1020:title","Film criteria","Kritéria soutěže","cs"
"menu:item:3074:title","Finance & budget information","Informace o financích a rozpočtu","cs"
"menu:item:1000:title","Finance and budget","Finanční záležitosti a rozpočet","cs"
"menu:item:3071:title","Focal Points index page (menu position rule)","Rejstřík kontaktních míst (pravidlo pozice v nabídce)","cs"
"menu:item:3077:title","Focal points details","Podrobnosti o kontaktních místech","cs"
"menu:item:1002:title","Founding regulation","Zakládající nařízení","cs"
"menu:item:1006:title","Fraud and conflict of interest prevention","Předcházení podvodům a střetům zájmů","cs"
"menu:item:665:title","Future campaigns","Budoucí kampaně","cs"
"menu:item:997:title","Good administrative behaviour","Řádná správní praxe","cs"
"menu:item:644:title","Good practice awards","Ceny za správnou praxi","cs"
"menu:item:645:title","Governance","Správa","cs"
"menu:item:968:title","Green jobs","Zelená pracovní místa","cs"
"menu:item:638:title","Healthy workplaces campaigns","Kampaně Zdravé pracoviště","cs"
"menu:item:967:title","Home","Úvodní stránka","cs"
"menu:item:2858:title","How to reach us","Jak se s  námi spojíte","cs"
"menu:item:992:title","Infographics","Infografika","cs"
"menu:item:646:title","Leadership & worker participation","Vůdcovství & účast zaměstnanců","cs"
"menu:item:1713:title","Legal notice","Právní upozornění","cs"
"menu:item:624:title","Legislation","Právní předpisy","cs"
"menu:item:975:title","Legislation","Právní předpisy","cs"
"menu:item:1709:title","LinkedIn","LinkedIn","cs"
"menu:item:1700:title","Links","Odkazy","cs"
"menu:item:643:title","Mainstreaming OSH into education","Zahrnutí problematiky BOZP do vzdělávání","cs"
"menu:item:642:title","Micro and small enterprises & OSH","Mikropodniky a malé podniky a BOZP","cs"
"menu:item:972:title","Mission & Vision","Poslání & vize","cs"
"menu:item:639:title","Musculoskeletal disorders","Muskuloskeletální poruchy","cs"
"menu:item:640:title","Nanomaterials","Nanomateriály","cs"
"menu:item:990:title","Napo","Napo","cs"
"menu:item:974:title","National focal points","Národní kontaktní místa","cs"
"menu:item:647:title","National legislation","Vnitrostátní právní předpisy","cs"
"menu:item:655:title","OSHwiki","OSHwiki","cs"
"menu:item:1019:title","Participation criteria","Kritéria účasti","cs"
"menu:item:1704:title","Press","Tisk","cs"
"menu:item:1698:title","Press kit","Materiály pro tisk","cs"
"menu:item:673:title","Press room","Tiskové středisko","cs"
"menu:item:671:title","Previous campaigns","Předcházející kampaně","cs"
"menu:item:1706:title","Privacy notice","Ochrana osobních údajů","cs"
"menu:item:1716:title","Privacy notice","Ochrana osobních údajů","cs"
"menu:item:1716:description","Privacy policy for logged in users","Ochrana osobních údajů přihlášených uživatelů","cs"
"menu:item:1706:description","Privacy policy for non logged in users","Ochrana osobních údajů nepřihlášených uživatelů","cs"
"menu:item:670:title","Procurement","Veřejné zakázky","cs"
"menu:item:982:title","Project on OSH of older workers","Projekt týkající se BOZP u  starších pracovníků","cs"
"menu:item:652:title","Publications","Publikace","cs"
"menu:item:964:title","REACH","REACH","cs"
"menu:item:1703:title","RSS","RSS","cs"
"menu:item:1005:title","Request of internal documents","Žádost o interní dokumenty","cs"
"menu:item:648:title","Risk assessment tool (OIRA)","Nástroj hodnocení rizik (OIRA)","cs"
"menu:item:1696:title","Seminar reports","Zprávy ze seminářů","cs"
"menu:item:1026:title","Senior staff","Vedoucí pracovníci","cs"
"menu:item:1701:title","Social","Sociální","cs"
"menu:item:970:title","Strategy and programmes","Strategie a programy","cs"
"menu:item:653:title","Stress & psychosocial risks","Stres & psychosociální rizika","cs"
"menu:item:626:title","Surveys & Statistics","Průzkumy a statistiky","cs"
"menu:item:631:title","Surveys & Statistics","Průzkumy & statistiky","cs"
"menu:item:625:title","Themes","Témata","cs"
"menu:item:632:title","Themes","Témata","cs"
"menu:item:627:title","Tools & Publications","Nástroje & publikace","cs"
"menu:item:634:title","Tools & Publications","Nástroje & publikace","cs"
"menu:item:1707:title","Twitter","Twitter","cs"
"menu:item:666:title","What we do","Co děláme","cs"
"menu:item:663:title","Women & OSH","Ženy a BOZP","cs"
"menu:item:662:title","Work–related diseases","Nemoci související s prací","cs"
"menu:item:1710:title","YouTube","YouTube","cs"
"menu:item:659:title","Young people & OSH","Mladí lidé & BOZP","cs"
"menu:item:986:title","e–guide VeSafe","Elektronický průvodce VeSage","cs"
"menu:item:987:title","e–guide manage stress","Elektronická přiručka k řízení stresu","cs"
"menu:item:988:title","e–guide on ageing","Elektronická přiručka ke stárnutí","cs"
