"menu:item:660:title","2012–13 Campaign","Kauden 2012–2013 kampanja","fi"
"menu:item:661:title","2014–15 Campaign","Kauden 2014–2015 kampanja","fi"
"menu:item:623:title","About EU-OSHA","Tietoa virastosta","fi"
"menu:item:637:title","About EU-OSHA","Tietoa virastosta","fi"
"menu:item:1712:title","Accessibility","Esteettömyys","fi"
"menu:item:668:title","Ageing & OSH","Ikääntyminen ja työsuojelu","fi"
"menu:item:994:title","Annual reports","Vuosikertomukset","fi"
"menu:item:3073:title","Award winner 2014","Palkinnon voittaja 2014","fi"
"menu:item:3072:title","Become a media partner","Ryhdy mediakumppaniksi","fi"
"menu:item:1012:title","Benefits of OSH","Työterveyden ja työturvallisuuden hyödyt","fi"
"menu:item:1717:title","Blog","Blogi","fi"
"menu:item:1718:title","Blog","Blogi","fi"
"menu:item:1719:title","Blog","Blogi","fi"
"menu:item:1003:title","Board & Bureau","Hallintoneuvosto ja puheenjohtajisto","fi"
"menu:item:965:title","CLP","CLP","fi"
"menu:item:989:title","Campaign toolkit","Kampanjan työkalupakki","fi"
"menu:item:629:title","Campaigns & Awards","Kampanjat ja palkinnot","fi"
"menu:item:674:title","Careers","Työpaikat","fi"
"menu:item:1028:title","Composition of the advisory groups","Neuvonantajaryhmien kokoonpano","fi"
"menu:item:1004:title","Composition of the board","Hallintoneuvoston kokoonpano","fi"
"menu:item:1025:title","Composition of the bureau","Puheenjohtajiston kokoonpano","fi"
"menu:item:1705:title","Contact us","Ota meihin yhteyttä","fi"
"menu:item:996:title","Control standards","Valvontastandardit","fi"
"menu:item:672:title","Dangerous substances","Vaaralliset aineet","fi"
"menu:item:672:description","Dangerous substances in the workplace — safety and health information and advice from EU-OSHA","Vaaralliset aineet työpaikalla – työsuojelutietoja ja -neuvoja Euroopan työterveys- ja työturvallisuusvirastolta","fi"
"menu:item:998:title","Data protection","Tietosuoja","fi"
"menu:item:3076:title","Document register","Asiakirjarekisteri","fi"
"menu:item:649:title","EU directives","EU-direktiivit","fi"
"menu:item:650:title","EU guidelines","EU-suuntaviivat","fi"
"menu:item:1018:title","EU poll 2009","EU:n mielipidetutkimus 2009","fi"
"menu:item:984:title","EU poll 2012","EU:n mielipidetutkimus 2012","fi"
"menu:item:983:title","EU poll 2013","EU:n mielipidetutkimus 2013","fi"
"menu:item:656:title","EU polls on safety & health","EU:n mielipidekyselyt terveydestä ja turvallisuudesta","fi"
"menu:item:1023:title","EU presidency","EU:n puheenjohtajuus","fi"
"menu:item:993:title","EU risk observatory","EU:n riskinseurantakeskus","fi"
"menu:item:651:title","EU standards","EU:n standardit","fi"
"menu:item:1024:title","EU year","EU:n teemavuosi","fi"
"menu:item:979:title","EU-OSHA awards","Euroopan työterveys- ja työturvallisuusviraston palkinnot","fi"
"menu:item:628:title","Emerging risks","Uudet riskit","fi"
"menu:item:969:title","Emerging risks","Uudet riskit","fi"
"menu:item:669:title","Enterprise survey (ESENER)","Yritystutkimus (ESENER)","fi"
"menu:item:995:title","Evaluation","Arviointi","fi"
"menu:item:1513:title","Events","Tapahtumat","fi"
"menu:item:1708:title","Facebook","Facebook","fi"
"menu:item:981:title","Film award","Elokuvapalkinto","fi"
"menu:item:1020:title","Film criteria","Elokuvan kriteerit","fi"
"menu:item:3074:title","Finance & budget information","Rahoitus- ja talousarviotiedot","fi"
"menu:item:1000:title","Finance and budget","Rahoitus ja määrärahat","fi"
"menu:item:3071:title","Focal Points index page (menu position rule)","Koordinointikeskusten sisällysluettelosivu (valikon sijaintia koskeva sääntö)","fi"
"menu:item:3077:title","Focal points details","Koordinointikeskusten tiedot","fi"
"menu:item:1002:title","Founding regulation","Perustamisasetus","fi"
"menu:item:1006:title","Fraud and conflict of interest prevention","Petosten ja eturistiriitojen ehkäisy","fi"
"menu:item:665:title","Future campaigns","Tulevat kampanjat","fi"
"menu:item:997:title","Good administrative behaviour","Hyvä hallintotapa","fi"
"menu:item:644:title","Good practice awards","Hyvän käytännön palkinnot","fi"
"menu:item:645:title","Governance","Hallinto","fi"
"menu:item:968:title","Green jobs","Vihreät työpaikat","fi"
"menu:item:638:title","Healthy workplaces campaigns","Terveellinen työ -kampanjat","fi"
"menu:item:967:title","Home","Aloitussivu","fi"
"menu:item:2858:title","How to reach us","Miten meihin saa yhteyttä","fi"
"menu:item:992:title","Infographics","Infografiikka","fi"
"menu:item:646:title","Leadership & worker participation","Johtajuus ja työntekijöiden osallistuminen","fi"
"menu:item:1713:title","Legal notice","Oikeudellinen huomautus","fi"
"menu:item:624:title","Legislation","Lainsäädäntö","fi"
"menu:item:975:title","Legislation","Lainsäädäntö","fi"
"menu:item:1709:title","LinkedIn","LinkedIn","fi"
"menu:item:1700:title","Links","Linkit","fi"
"menu:item:643:title","Mainstreaming OSH into education","Työsuojelun valtavirtaistaminen opetuksessa","fi"
"menu:item:642:title","Micro and small enterprises & OSH","Työsuojelu mikro- ja pienyrityksissä","fi"
"menu:item:972:title","Mission & Vision","Tehtävä ja visio","fi"
"menu:item:639:title","Musculoskeletal disorders","Tuki- ja liikuntaelinsairaudet","fi"
"menu:item:640:title","Nanomaterials","Nanomateriaalit","fi"
"menu:item:990:title","Napo","Napo","fi"
"menu:item:974:title","National focal points","Kansalliset koordinointikeskukset","fi"
"menu:item:647:title","National legislation","Kansallinen lainsäädäntö","fi"
"menu:item:655:title","OSHwiki","OSHwiki","fi"
"menu:item:1019:title","Participation criteria","Osallistumiskriteerit","fi"
"menu:item:1704:title","Press","Tiedotusvälineet","fi"
"menu:item:1698:title","Press kit","Lehdistöpaketti","fi"
"menu:item:673:title","Press room","Lehdistöosio","fi"
"menu:item:671:title","Previous campaigns","Edelliset kampanjat","fi"
"menu:item:1706:title","Privacy notice","Tietosuojakäytäntö","fi"
"menu:item:1716:title","Privacy notice","Tietosuojakäytäntö","fi"
"menu:item:1716:description","Privacy policy for logged in users","Kirjautuneiden käyttäjien tietosuojakäytäntö","fi"
"menu:item:1706:description","Privacy policy for non logged in users","Kirjautumattomien käyttäjien tietosuojakäytäntö","fi"
"menu:item:670:title","Procurement","Hankinta","fi"
"menu:item:982:title","Project on OSH of older workers","Ikäntyneiden työntekijöiden työterveyttä ja työturvallisuutta koskeva hanke","fi"
"menu:item:652:title","Publications","Julkaisut","fi"
"menu:item:964:title","REACH","REACH","fi"
"menu:item:1703:title","RSS","RSS-syötteet","fi"
"menu:item:1005:title","Request of internal documents","Sisäisiä asiakirjoja koskeva pyyntö","fi"
"menu:item:648:title","Risk assessment tool (OIRA)","Riskienarviointityökalu (OiRA)","fi"
"menu:item:1696:title","Seminar reports","Seminaariraportit","fi"
"menu:item:1026:title","Senior staff","Ylemmät toimihenkilöt","fi"
"menu:item:1701:title","Social","Social","fi"
"menu:item:970:title","Strategy and programmes","Strategia ja ohjelmat","fi"
"menu:item:653:title","Stress & psychosocial risks","Stressi ja psykososiaaliset riskit","fi"
"menu:item:626:title","Surveys & Statistics","Kyselytutkimukset ja tilastot","fi"
"menu:item:631:title","Surveys & Statistics","Kyselytutkimukset ja tilastot","fi"
"menu:item:625:title","Themes","Aiheet","fi"
"menu:item:632:title","Themes","Aiheet","fi"
"menu:item:627:title","Tools & Publications","Työkalut ja julkaisut","fi"
"menu:item:634:title","Tools & Publications","Työkalut ja julkaisut","fi"
"menu:item:1707:title","Twitter","Twitter","fi"
"menu:item:666:title","What we do","Mitä me teemme","fi"
"menu:item:663:title","Women & OSH","Naiset ja työsuojelu","fi"
"menu:item:662:title","Work–related diseases","Työperäiset sairaudet","fi"
"menu:item:1710:title","YouTube","YouTube","fi"
"menu:item:659:title","Young people & OSH","Nuoret ihmiset ja työsuojelu","fi"
"menu:item:986:title","e–guide VeSafe","Sähköinen VeSafe-opas","fi"
"menu:item:987:title","e–guide manage stress","Sähköinen opas stressin hallinnasta","fi"
"menu:item:988:title","e–guide on ageing","Sähköinen opas ikääntymisestä","fi"
